case_key,index_key,window_size,model,config_index,config_key,config_summary,config_json,tune_MAE,tune_RMSE,tune_R2,tune_n,tune_close_MAE,tune_close_RMSE,tune_close_R2,tune_close_n,tune_close_MAE_pct,tune_close_RMSE_pct,tune_abs_error_pct_mean,tune_error_pct_bias,tune_windows,eval_MAE,eval_RMSE,eval_R2,eval_n,eval_close_MAE,eval_close_RMSE,eval_close_R2,eval_close_n,eval_close_MAE_pct,eval_close_RMSE_pct,eval_abs_error_pct_mean,eval_error_pct_bias,eval_windows,mean_fit_seconds,metric_scope,target_definition,family,model_name,effective_config_json,selection_rank,is_top5,is_selected_best
DOWJONES_w10,DOWJONES,10,GradientBoosting,13,dcb8076b850ef5d4,learning_rate=0.08 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",424.9745906099657,519.6403727716014,0.8853883355275428,221,424.9745906099657,519.6403727716014,0.8853883355275428,221,1.3051596274427286,1.5958922023016586,1.3153131905975528,0.0496385729995913,221,,,,0,,,,0,,,,,0,0.0119221506459107,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level,ml,GradientBoosting,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",6,False,False
NASDAQ_w10,NASDAQ,10,GradientBoosting,13,dcb8076b850ef5d4,learning_rate=0.08 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",244.9925977240844,301.97452224839304,0.9256958766733052,221,244.9925977240844,301.97452224839304,0.9256958766733052,221,2.052259122095751,2.529586500497959,2.0616747297127502,0.4468701896130553,221,,,,0,,,,0,,,,,0,0.0117715322222914,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level,ml,GradientBoosting,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",6,False,False
RUSSELL3000_w10,RUSSELL3000,10,GradientBoosting,13,dcb8076b850ef5d4,learning_rate=0.08 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",38.45731460172198,47.10064496916563,0.8998531946738825,221,38.45731460172198,47.10064496916563,0.8998531946738825,221,1.6447050945310395,2.014354656292507,1.6492173876560188,0.1188303238051341,221,,,,0,,,,0,,,,,0,0.0119036617625622,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level,ml,GradientBoosting,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",6,False,False
SP500_w10,SP500,10,GradientBoosting,13,dcb8076b850ef5d4,learning_rate=0.08 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",63.11954589213976,77.98244193297998,0.9027069329588072,221,63.11954589213976,77.98244193297998,0.9027069329588072,221,1.5634506389676557,1.9315997437104264,1.5686666803949003,0.1452624013939717,221,,,,0,,,,0,,,,,0,0.0118841894152173,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level,ml,GradientBoosting,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",6,False,False
DOWJONES_w10,DOWJONES,10,GradientBoosting,15,443ba1a5a28c4023,learning_rate=0.08 max_depth=2 n_estimators=300 subsample=0.8,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}",425.11711898912654,519.8669291466622,0.8852883753819438,221,425.11711898912654,519.8669291466622,0.8852883753819438,221,1.305597353109994,1.596587990333702,1.3157198650766555,0.0488519212369721,221,,,,0,,,,0,,,,,0,0.0344118480212412,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level,ml,GradientBoosting,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}",7,False,False
NASDAQ_w10,NASDAQ,10,GradientBoosting,15,443ba1a5a28c4023,learning_rate=0.08 max_depth=2 n_estimators=300 subsample=0.8,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}",245.1162975705376,302.15968169978544,0.925604727734066,221,245.1162975705376,302.15968169978544,0.925604727734066,221,2.05329533355946,2.53113754806712,2.062891832952316,0.4462526102400565,221,,,,0,,,,0,,,,,0,0.0342012724177532,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level,ml,GradientBoosting,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}",7,False,False
RUSSELL3000_w10,RUSSELL3000,10,GradientBoosting,15,443ba1a5a28c4023,learning_rate=0.08 max_depth=2 n_estimators=300 subsample=0.8,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}",38.50580069472509,47.17025944208107,0.8995569431421795,221,38.50580069472509,47.17025944208107,0.8995569431421795,221,1.646778700683783,2.017331860484814,1.6512785272351054,0.1178977971179317,221,,,,0,,,,0,,,,,0,0.0345312611187272,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level,ml,GradientBoosting,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}",7,False,False
SP500_w10,SP500,10,GradientBoosting,15,443ba1a5a28c4023,learning_rate=0.08 max_depth=2 n_estimators=300 subsample=0.8,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}",63.16987802109315,78.06513553828857,0.9025004818636572,221,63.16987802109315,78.06513553828857,0.9025004818636572,221,1.5646973494447436,1.9336480374399023,1.5698654283980922,0.1445448174034322,221,,,,0,,,,0,,,,,0,0.0344285514370044,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level,ml,GradientBoosting,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}",7,False,False
DOWJONES_w10,DOWJONES,10,GradientBoosting,17,8ad8b1cebd809d2d,learning_rate=0.08 max_depth=2 n_estimators=500 subsample=0.8,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 500, ""subsample"": 0.8}",425.1171378067649,519.8671015765307,0.8852882992866489,221,425.1171378067649,519.8671015765307,0.8852882992866489,221,1.305597410901736,1.5965885198912522,1.3157198986008565,0.0488509771295551,221,,,,0,,,,0,,,,,0,0.0568595944136818,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level,ml,GradientBoosting,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 500, ""subsample"": 0.8}",8,False,False
NASDAQ_w10,NASDAQ,10,GradientBoosting,17,8ad8b1cebd809d2d,learning_rate=0.08 max_depth=2 n_estimators=500 subsample=0.8,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 500, ""subsample"": 0.8}",245.11667288545388,302.1600191045201,0.9256045615879346,221,245.11667288545388,302.1600191045201,0.9256045615879346,221,2.0532984775053085,2.531140374446166,2.062895360481388,0.4462510222189385,221,,,,0,,,,0,,,,,0,0.056604614618289,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level,ml,GradientBoosting,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 500, ""subsample"": 0.8}",8,False,False
